epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,194.426,1.16057,0.69804,0.98528,0.50517,0.29618,0.29637,0.16885,1.08686,0.65103,0.89671,0.000584578,0.000584578,0.000584578
43,198.563,1.14317,0.68783,0.96941,0.56952,0.30974,0.30302,0.16665,1.09407,0.64983,0.89713,0.000570944,0.000570944,0.000570944
44,202.669,1.1532,0.67948,0.97407,0.5777,0.31131,0.32343,0.17974,1.08786,0.64138,0.89721,0.0005572,0.0005572,0.0005572
45,206.827,1.15618,0.67605,0.97699,0.56587,0.32526,0.31537,0.17537,1.09393,0.65654,0.89765,0.000543358,0.000543358,0.000543358
46,211.105,1.14667,0.66887,0.97193,0.54445,0.34845,0.33284,0.18325,1.09168,0.65613,0.89577,0.000529433,0.000529433,0.000529433
47,215.265,1.14268,0.6791,0.97432,0.52957,0.33709,0.32055,0.1772,1.09042,0.65244,0.88961,0.000515439,0.000515439,0.000515439
48,219.565,1.16326,0.68718,0.97938,0.55945,0.29351,0.30369,0.17068,1.08632,0.64694,0.89435,0.00050139,0.00050139,0.00050139
49,223.608,1.1333,0.66729,0.97089,0.57412,0.2902,0.31538,0.17443,1.09527,0.63987,0.89652,0.000487298,0.000487298,0.000487298
50,227.694,1.16085,0.68873,0.97464,0.51653,0.31015,0.30898,0.17931,1.08716,0.64655,0.89316,0.000473178,0.000473178,0.000473178
51,231.833,1.14685,0.66679,0.96555,0.55338,0.33804,0.32324,0.18121,1.08205,0.63345,0.8908,0.000459045,0.000459045,0.000459045
52,236.011,1.12744,0.65639,0.96526,0.55819,0.31582,0.30998,0.17367,1.08631,0.64825,0.89166,0.000444912,0.000444912,0.000444912
53,240.298,1.11387,0.63781,0.96527,0.66388,0.28673,0.32127,0.18121,1.0892,0.64276,0.89273,0.000430792,0.000430792,0.000430792
54,244.481,1.14597,0.65318,0.97795,0.63551,0.29252,0.32352,0.18155,1.08824,0.63258,0.89295,0.0004167,0.0004167,0.0004167
55,248.606,1.11841,0.64339,0.9626,0.57759,0.2973,0.31531,0.18192,1.08463,0.63169,0.89176,0.000402651,0.000402651,0.000402651
56,252.727,1.12828,0.636,0.96451,0.54057,0.32753,0.33031,0.18477,1.0875,0.63313,0.89835,0.000388657,0.000388657,0.000388657
57,257.005,1.12174,0.64836,0.95552,0.55644,0.30207,0.31657,0.18025,1.09129,0.63452,0.89507,0.000374732,0.000374732,0.000374732
58,261.097,1.10941,0.63311,0.95773,0.60507,0.2988,0.31717,0.18224,1.08486,0.63206,0.89343,0.00036089,0.00036089,0.00036089
59,265.431,1.11069,0.63688,0.94925,0.55991,0.31873,0.31725,0.18235,1.0789,0.63357,0.88972,0.000347146,0.000347146,0.000347146
60,269.53,1.11855,0.63611,0.96045,0.57375,0.32077,0.32349,0.1895,1.07867,0.62208,0.88929,0.000333512,0.000333512,0.000333512
61,273.893,1.11529,0.62143,0.94982,0.55692,0.3296,0.3217,0.188,1.08377,0.62363,0.89369,0.000320001,0.000320001,0.000320001
62,278.073,1.09415,0.61695,0.94783,0.64949,0.3086,0.32865,0.18839,1.0743,0.62212,0.88724,0.000306628,0.000306628,0.000306628
63,282.195,1.11371,0.63154,0.95852,0.55789,0.32772,0.32491,0.18809,1.08096,0.61931,0.89004,0.000293406,0.000293406,0.000293406
64,286.33,1.09118,0.61291,0.94481,0.57821,0.32273,0.334,0.19468,1.07619,0.61175,0.88916,0.000280346,0.000280346,0.000280346
