epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6552,1.98526,5.68559,1.64191,0,0,0,0,nan,nan,nan,0.000909,0.000909,0.000909
2,42.0926,1.55938,1.49572,1.33393,0.02394,0.01659,0.00817,0.00332,2.90955,4.81955,2.90623,0.000908778,0.000908778,0.000908778
3,53.3857,1.46109,1.2068,1.23671,0.41393,0.1441,0.10252,0.04922,1.45421,2.01566,1.23416,0.000908112,0.000908112,0.000908112
4,64.611,1.45268,1.12791,1.22999,0.4637,0.18222,0.16235,0.08591,1.35915,1.27618,1.17052,0.000907003,0.000907003,0.000907003
5,75.7786,1.40803,1.07155,1.20575,0.46728,0.18411,0.17393,0.09063,1.3284,1.10773,1.11222,0.000905452,0.000905452,0.000905452
6,86.7982,1.39881,1.01598,1.18518,0.53731,0.20694,0.21849,0.1195,1.29186,1.01239,1.08764,0.00090346,0.00090346,0.00090346
7,97.9019,1.36659,1.02161,1.1879,0.37547,0.23959,0.22167,0.11721,1.28891,0.95104,1.08481,0.00090103,0.00090103,0.00090103
8,108.762,1.37146,0.98941,1.17774,0.43879,0.25409,0.2349,0.12226,1.27869,0.96552,1.08364,0.000898164,0.000898164,0.000898164
9,119.68,1.34374,0.96349,1.15868,0.2569,0.29396,0.23014,0.12416,1.27364,0.92209,1.07356,0.000894864,0.000894864,0.000894864
10,130.698,1.35113,0.94201,1.1594,0.28429,0.22625,0.22928,0.1214,1.27439,1.02102,1.07108,0.000891134,0.000891134,0.000891134
11,141.54,1.34632,0.93139,1.13848,0.34797,0.24978,0.25583,0.14056,1.24699,0.88175,1.05175,0.000886978,0.000886978,0.000886978
12,152.421,1.33466,0.92046,1.15455,0.53991,0.24572,0.28051,0.15213,1.24588,0.85495,1.04845,0.000882399,0.000882399,0.000882399
13,163.78,1.32801,0.93914,1.1489,0.34556,0.28517,0.2766,0.15127,1.26442,0.85822,1.05793,0.000877403,0.000877403,0.000877403
14,174.94,1.31736,0.87852,1.12039,0.35081,0.27382,0.2753,0.14704,1.26727,0.91368,1.06404,0.000871993,0.000871993,0.000871993
15,185.848,1.32646,0.89859,1.13614,0.32478,0.32326,0.28874,0.15607,1.25206,0.81563,1.04788,0.000866176,0.000866176,0.000866176
16,196.722,1.3135,0.88471,1.13509,0.61025,0.32958,0.30458,0.16779,1.22496,0.84701,1.02919,0.000859958,0.000859958,0.000859958
17,207.613,1.29245,0.87306,1.11529,0.35792,0.3095,0.31321,0.1698,1.22544,0.79904,1.03291,0.000853344,0.000853344,0.000853344
18,218.655,1.34069,0.9032,1.1424,0.42605,0.31683,0.31805,0.17931,1.21373,0.78783,1.02746,0.00084634,0.00084634,0.00084634
19,229.732,1.28614,0.87748,1.11824,0.5276,0.31763,0.30432,0.16745,1.22742,0.82226,1.039,0.000838955,0.000838955,0.000838955
20,240.51,1.32637,0.88674,1.13099,0.48972,0.29009,0.30706,0.1753,1.22188,0.78663,1.03097,0.000831194,0.000831194,0.000831194
21,251.321,1.29463,0.87766,1.12365,0.56084,0.29828,0.29746,0.16452,1.22595,0.83212,1.03137,0.000823066,0.000823066,0.000823066
22,262.078,1.30939,0.86247,1.12355,0.58028,0.32364,0.32149,0.17637,1.23082,0.77503,1.02981,0.000814579,0.000814579,0.000814579
23,272.875,1.3096,0.83851,1.12017,0.54347,0.32531,0.31673,0.17954,1.21477,0.78741,1.02364,0.000805741,0.000805741,0.000805741
24,283.681,1.31062,0.84372,1.11297,0.40717,0.2869,0.31174,0.17768,1.20529,0.77581,1.02098,0.000796561,0.000796561,0.000796561
25,294.682,1.28635,0.83175,1.09505,0.36121,0.29384,0.30787,0.17233,1.21713,0.78483,1.01909,0.000787048,0.000787048,0.000787048
26,305.471,1.27774,0.82441,1.10447,0.50512,0.29417,0.32807,0.18231,1.24086,0.80185,1.02854,0.000777211,0.000777211,0.000777211
27,316.346,1.26521,0.8107,1.09479,0.4181,0.29305,0.3149,0.18035,1.22246,0.77832,1.02655,0.00076706,0.00076706,0.00076706
28,327.315,1.2737,0.81824,1.11289,0.49376,0.3696,0.33084,0.18574,1.21451,0.76823,1.0132,0.000756606,0.000756606,0.000756606
29,338.208,1.26514,0.80378,1.10885,0.33112,0.38016,0.3283,0.18638,1.20508,0.7585,1.01925,0.000745857,0.000745857,0.000745857
30,349.211,1.27836,0.81733,1.09819,0.53006,0.34738,0.34404,0.19367,1.20793,0.75122,1.01689,0.000734826,0.000734826,0.000734826
31,360.47,1.27916,0.80445,1.09353,0.56309,0.34263,0.34653,0.19319,1.21788,0.75172,1.02,0.000723522,0.000723522,0.000723522
32,371.372,1.26978,0.77893,1.08307,0.56416,0.35294,0.35874,0.19924,1.20709,0.75145,1.01832,0.000711957,0.000711957,0.000711957
33,382.27,1.259,0.76597,1.08067,0.51299,0.34333,0.33049,0.18704,1.2194,0.75713,1.01884,0.000700143,0.000700143,0.000700143
34,393.042,1.23652,0.75776,1.07961,0.54934,0.34745,0.35679,0.19703,1.20236,0.746,1.0084,0.000688091,0.000688091,0.000688091
35,403.863,1.23455,0.75915,1.07056,0.53614,0.3362,0.33811,0.1901,1.19342,0.7487,1.01339,0.000675812,0.000675812,0.000675812
36,414.695,1.23927,0.76056,1.08467,0.59127,0.31792,0.35261,0.1987,1.20406,0.7382,1.00866,0.00066332,0.00066332,0.00066332
37,425.758,1.2213,0.76783,1.07414,0.6439,0.35563,0.36382,0.21051,1.19822,0.74815,1.00825,0.000650627,0.000650627,0.000650627
38,436.624,1.23288,0.75921,1.07884,0.3608,0.37296,0.35734,0.20151,1.20425,0.74456,1.01003,0.000637744,0.000637744,0.000637744
39,447.521,1.24059,0.7572,1.07942,0.54153,0.33695,0.33166,0.18954,1.21088,0.74605,1.01772,0.000624684,0.000624684,0.000624684
40,458.312,1.23124,0.73875,1.07802,0.5581,0.36307,0.35663,0.19938,1.20506,0.73386,1.01314,0.000611462,0.000611462,0.000611462
41,469.01,1.20658,0.72887,1.07844,0.67741,0.30603,0.36771,0.21248,1.19232,0.72409,1.00735,0.000598089,0.000598089,0.000598089
42,480.154,1.20783,0.73076,1.06666,0.4554,0.3403,0.36327,0.20961,1.20648,0.72956,1.01594,0.000584578,0.000584578,0.000584578
43,490.879,1.20397,0.72953,1.06201,0.56389,0.35286,0.34707,0.20236,1.20309,0.73388,1.01597,0.000570944,0.000570944,0.000570944
44,501.815,1.20419,0.71963,1.06441,0.6016,0.36031,0.36764,0.2108,1.1954,0.72683,1.00572,0.0005572,0.0005572,0.0005572
45,512.574,1.20352,0.71847,1.06676,0.55987,0.3533,0.36137,0.21395,1.20215,0.723,1.00743,0.000543358,0.000543358,0.000543358
46,523.527,1.19584,0.70947,1.05753,0.55633,0.35347,0.36141,0.20491,1.20115,0.71779,1.00856,0.000529433,0.000529433,0.000529433
47,534.511,1.18951,0.70003,1.05939,0.55893,0.37206,0.36136,0.20923,1.19675,0.72257,1.00465,0.000515439,0.000515439,0.000515439
48,545.287,1.17539,0.70349,1.05235,0.557,0.38193,0.35356,0.20647,1.20086,0.71742,1.00811,0.00050139,0.00050139,0.00050139
49,555.987,1.17959,0.69403,1.04987,0.58724,0.356,0.3661,0.2129,1.20559,0.71901,1.00666,0.000487298,0.000487298,0.000487298
50,566.935,1.19746,0.71232,1.05723,0.52849,0.3649,0.3476,0.1989,1.19748,0.72329,1.00621,0.000473178,0.000473178,0.000473178
51,577.765,1.18563,0.69007,1.04155,0.5319,0.36504,0.34494,0.19708,1.19237,0.72342,1.00395,0.000459045,0.000459045,0.000459045
52,588.53,1.16976,0.68388,1.04689,0.44189,0.34032,0.3665,0.21435,1.19573,0.7177,1.00326,0.000444912,0.000444912,0.000444912
